ipr_accession	category
IPR000001	Other
IPR000003	 
IPR000006	Other
IPR000007	Other
IPR000008	Other
IPR000009	Other
IPR000010	Other
IPR000011	Other
IPR000012	Other
IPR000013	Other
IPR000014	Other
IPR000015	Other
IPR000018	Other
IPR000020	Other
IPR000021	Other
IPR000023	Other
IPR000025	Other
IPR000026	Other
IPR000028	Other
IPR000030	Other
IPR000031	Other
IPR000032	Other
IPR000033	Other
IPR000034	Other
IPR000035	 
IPR000036	Other
IPR000037	Other
IPR000039	Other
IPR000040	 
IPR000043	Other
IPR000044	 
IPR000045	Other
IPR000046	 
IPR000047	 
IPR000048	Other
IPR000049	Other
IPR000052	Other
IPR000053	Other
IPR000054	Other
IPR000055	 
IPR000056	Other
IPR000057	Other
IPR000058	 
IPR000059	Other
IPR000060	Other
IPR000061	Other
IPR000064	Other
IPR000065	Other
IPR000066	Other
IPR000067	Other
IPR000068	 
IPR000069	Other
IPR000070	Other
IPR000071	Other
IPR000072	Other
IPR000073	Other
IPR000074	Other
IPR000076	Other
IPR000077	Other
IPR000079	 
IPR000081	Other
IPR000082	Other
IPR000083	 
IPR000084	Other
IPR000085	 
IPR000086	Other
IPR000089	Other
IPR000090	Other
IPR000091	Other
IPR000092	Other
IPR000093	 
IPR000095	Other
IPR000096	Other
IPR000098	Other
IPR000100	Other
IPR000101	Other
IPR000102	Other
IPR000104	Other
IPR000105	 
IPR000109	Other
IPR000110	Other
IPR000111	Other
IPR000112	 
IPR000114	Other
IPR000115	Other
IPR000116	 
IPR000117	Other
IPR000118	Other
IPR000119	 
IPR000120	Other
IPR000121	Other
IPR000123	 
IPR000124	Other
IPR000125	Other
IPR000126	Other
IPR000128	 
IPR000131	Other
IPR000132	Other
IPR000133	Other
IPR000136	Other
IPR000138	Other
IPR000141	 
IPR000142	Other
IPR000143	 
IPR000144	 
IPR000145	Other
IPR000146	Other
IPR000147	Other
IPR000148	 
IPR000149	Other
IPR000150	Other
IPR000151	Other
IPR000152	Other
IPR000153	Other
IPR000154	 
IPR000155	 
IPR000156	Other
IPR000157	Other
IPR000158	Other
IPR000159	Other
IPR000160	Other
IPR000161	 
IPR000162	 
IPR000163	 
IPR000164	 
IPR000165	Other
IPR000167	Other
IPR000169	Other
IPR000170	Other
IPR000172	Other
IPR000174	Other
IPR000175	Other
IPR000176	Other
IPR000177	Other
IPR000178	Other
IPR000180	Other
IPR000182	Other
IPR000183	Other
IPR000184	Other
IPR000185	Other
IPR000186	Other
IPR000187	Other
IPR000189	Other
IPR000190	Other
IPR000192	Other
IPR000194	Other
IPR000195	Other
IPR000196	Other
IPR000197	 
IPR000198	Other
IPR000199	Other
IPR000200	Other
IPR000201	 
IPR000202	 
IPR000203	Other
IPR000204	Other
IPR000206	Other
IPR000207	Other
IPR000208	 
IPR000209	Other
IPR000210	Other
IPR000211	 
IPR000212	 
IPR000213	Other
IPR000214	 
IPR000215	Other
IPR000217	Other
IPR000218	Other
IPR000219	Other
IPR000221	 
IPR000222	Other
IPR000223	Other
IPR000225	Other
IPR000227	Other
IPR000228	Other
IPR000229	Other
IPR000231	Other
IPR000232	 
IPR000233	Other
IPR000234	Other
IPR000235	Other
IPR000236	Other
IPR000237	Other
IPR000238	Other
IPR000239	Other
IPR000240	Other
IPR000241	Other
IPR000242	Other
IPR000243	Other
IPR000244	Other
IPR000245	Other
IPR000246	Other
IPR000247	Other
IPR000248	Other
IPR000249	Other
IPR000250	Other
IPR000253	 
IPR000254	Other
IPR000256	Other
IPR000257	Other
IPR000258	Other
IPR000259	Other
IPR000260	Other
IPR000261	Other
IPR000262	Other
IPR000263	 
IPR000264	Other
IPR000265	 
IPR000266	Other
IPR000268	 
IPR000269	Other
IPR000270	Other
IPR000271	Other
IPR000272	Other
IPR000274	Other
IPR000275	Other
IPR000276	 
IPR000277	 
IPR000280	Other
IPR000281	 
IPR000283	Other
IPR000286	Other
IPR000289	Other
IPR000290	Other
IPR000291	Other
IPR000292	Other
IPR000293	Other
IPR000294	Other
IPR000296	Other
IPR000297	Other
IPR000298	Other
IPR000299	Other
IPR000300	Other
IPR000301	Other
IPR000304	Other
IPR000305	 
IPR000306	 
IPR000307	Other
IPR000308	Other
IPR000310	Other
IPR000312	Other
IPR000313	 
IPR000314	 
IPR000315	Other
IPR000316	Other
IPR000317	Other
IPR000318	Other
IPR000319	Other
IPR000320	Other
IPR000321	 
IPR000322	Other
IPR000323	Other
IPR000324	 
IPR000326	Other
IPR000327	 
IPR000328	Other
IPR000329	Other
IPR000330	 
IPR000331	Other
IPR000332	Other
IPR000333	Other
IPR000334	Other
IPR000335	 
IPR000336	Other
IPR000337	 
IPR000340	Other
IPR000341	Other
IPR000343	Other
IPR000344	 
IPR000346	Other
IPR000347	Other
IPR000349	Other
IPR000351	Other
IPR000352	Other
IPR000353	Other
IPR000354	Other
IPR000355	Other
IPR000356	Other
IPR000357	Other
IPR000358	 
IPR000361	Other
IPR000362	Other
IPR000363	Other
IPR000366	 
IPR000367	Other
IPR000368	Other
IPR000369	Other
IPR000370	 
IPR000371	Other
IPR000372	 
IPR000374	Other
IPR000375	Other
IPR000376	 
IPR000377	Other
IPR000378	Other
IPR000380	 
IPR000381	Other
IPR000382	Other
IPR000383	Other
IPR000385	Other
IPR000386	Other
IPR000387	Other
IPR000388	Other
IPR000389	Other
IPR000390	Other
IPR000391	Other
IPR000392	Other
IPR000393	Other
IPR000394	 
IPR000395	Other
IPR000396	Other
IPR000397	Other
IPR000398	 
IPR000399	Other
IPR000400	Other
IPR000402	Other
IPR000403	Other
IPR000404	Other
IPR000405	Other
IPR000406	Other
IPR000407	Other
IPR000408	Other
IPR000409	Other
IPR000412	Other
IPR000413	Other
IPR000415	Other
IPR000416	Other
IPR000417	Other
IPR000418	 
IPR000420	Other
IPR000421	Other
IPR000422	Other
IPR000424	 
IPR000425	Other
IPR000426	Other
IPR000427	 
IPR000428	Other
IPR000429	Other
IPR000431	Other
IPR000432	 
IPR000433	 
IPR000434	Other
IPR000435	Other
IPR000436	Other
IPR000438	Other
IPR000439	Other
IPR000440	Other
IPR000443	Other
IPR000445	 
IPR000447	Other
IPR000448	Other
IPR000450	Other
IPR000451	 
IPR000452	 
IPR000453	Other
IPR000454	Other
IPR000455	Other
IPR000456	Other
IPR000458	Other
IPR000460	Other
IPR000462	Other
IPR000463	Other
IPR000465	 
IPR000466	 
IPR000467	Other
IPR000468	Other
IPR000469	Other
IPR000470	Other
IPR000471	Other
IPR000472	Other
IPR000473	Other
IPR000475	Other
IPR000476	Other
IPR000477	 
IPR000479	Other
IPR000480	Other
IPR000481	 
IPR000482	Other
IPR000483	Other
IPR000484	Other
IPR000485	 
IPR000486	Other
IPR000487	Other
IPR000488	Other
IPR000489	Other
IPR000490	Other
IPR000491	Other
IPR000492	 
IPR000493	Other
IPR000494	Other
IPR000496	Other
IPR000497	Other
IPR000498	Other
IPR000499	Other
IPR000500	Other
IPR000501	 
IPR000502	Other
IPR000503	Other
IPR000504	 
IPR000505	Other
IPR000506	Other
IPR000507	Other
IPR000509	Other
IPR000510	Other
IPR000511	Other
IPR000512	Other
IPR000514	Other
IPR000515	Other
IPR000516	Other
IPR000518	Other
IPR000519	Other
IPR000522	Other
IPR000523	Other
IPR000524	 
IPR000525	 
IPR000526	Other
IPR000527	Other
IPR000528	Other
IPR000529	Other
IPR000530	Other
IPR000531	Other
IPR000532	Other
IPR000533	Other
IPR000534	Other
IPR000535	Other
IPR000536	 
IPR000537	Other
IPR000538	Other
IPR000539	Other
IPR000540	Other
IPR000541	Other
IPR000542	Other
IPR000544	Other
IPR000545	Other
IPR000547	Other
IPR000548	Other
IPR000549	Other
IPR000550	Other
IPR000551	 
IPR000552	Other
IPR000554	Other
IPR000555	Other
IPR000556	Other
IPR000557	Other
IPR000558	 
IPR000559	Other
IPR000560	Other
IPR000562	 
IPR000563	Other
IPR000565	 
IPR000566	Other
IPR000568	Other
IPR000569	Other
IPR000571	 
IPR000572	Other
IPR000573	Other
IPR000574	Other
IPR000576	Other
IPR000577	Other
IPR000579	Other
IPR000580	 
IPR000581	Other
IPR000582	Other
IPR000584	Other
IPR000585	Other
IPR000586	Other
IPR000587	Other
IPR000588	 
IPR000589	Other
IPR000590	Other
IPR000591	Other
IPR000592	Other
IPR000593	Other
IPR000594	Other
IPR000595	Other
IPR000596	 
IPR000597	Other
IPR000599	Other
IPR000600	Other
IPR000601	Other
IPR000602	Other
IPR000603	Other
IPR000604	Other
IPR000605	 
IPR000607	 
IPR000608	Other
IPR000609	 
IPR000610	Other
IPR000611	Other
IPR000612	Other
IPR000614	Other
IPR000615	Other
IPR000617	Other
IPR000618	Other
IPR000620	Other
IPR000621	 
IPR000622	Other
IPR000623	Other
IPR000625	 
IPR000626	Other
IPR000627	Other
IPR000628	 
IPR000629	Other
IPR000630	Other
IPR000631	Other
IPR000633	Other
IPR000634	 
IPR000635	 
IPR000637	 
IPR000638	Other
IPR000639	Other
IPR000640	Other
IPR000641	Other
IPR000642	Other
IPR000643	Other
IPR000644	Other
IPR000645	Other
IPR000646	Other
IPR000647	 
IPR000648	Other
IPR000649	Other
IPR000650	 
IPR000651	Other
IPR000652	Other
IPR000653	Other
IPR000654	Other
IPR000655	 
IPR000657	 
IPR000659	Other
IPR000662	 
IPR000663	Other
IPR000664	 
IPR000665	Other
IPR000667	Other
IPR000668	Other
IPR000669	Other
IPR000670	Other
IPR000671	Other
IPR000672	Other
IPR000673	Other
IPR000674	Other
IPR000675	Other
IPR000677	Other
IPR000678	 
IPR000679	 
IPR000680	Other
IPR000681	Other
IPR000682	Other
IPR000683	Other
IPR000684	 
IPR000685	Other
IPR000686	 
IPR000687	Other
IPR000688	Other
IPR000689	Other
IPR000690	 
IPR000691	Other
IPR000692	Other
IPR000693	Other
IPR000696	Other
IPR000697	Other
IPR000698	Other
IPR000699	Other
IPR000700	Other
IPR000701	Other
IPR000702	Other
IPR000703	Other
IPR000704	Other
IPR000705	Other
IPR000706	Other
IPR000708	 
IPR000709	Other
IPR000710	Other
IPR000711	Other
IPR000713	Other
IPR000714	 
IPR000715	Other
IPR000716	Other
IPR000717	Other
IPR000718	Other
IPR000719	Other
IPR000720	Other
IPR000721	Other
IPR000722	 
IPR000723	Other
IPR000724	Other
IPR000725	Other
IPR000726	Other
IPR000727	Other
IPR000730	 
IPR000731	Other
IPR000732	Other
IPR000734	Other
IPR000735	Other
IPR000737	Other
IPR000738	Other
IPR000740	Other
IPR000741	Other
IPR000742	 
IPR000743	Other
IPR000744	Other
IPR000745	Other
IPR000747	 
IPR000748	Other
IPR000749	Other
IPR000750	Other
IPR000751	Other
IPR000752	Other
IPR000753	Other
IPR000754	 
IPR000755	Other
IPR000756	Other
IPR000757	Other
IPR000758	Other
IPR000760	Other
IPR000761	 
IPR000762	Other
IPR000763	Other
IPR000764	 
IPR000766	Other
IPR000768	Other
IPR000769	 
IPR000770	 
IPR000771	Other
IPR000772	Other
IPR000773	Other
IPR000774	Other
IPR000775	Other
IPR000776	Other
IPR000777	Other
IPR000778	Other
IPR000779	Other
IPR000780	Other
IPR000781	 
IPR000782	Other
IPR000783	 
IPR000784	 
IPR000785	Other
IPR000786	Other
IPR000787	Other
IPR000788	 
IPR000789	Other
IPR000791	Other
IPR000792	 
IPR000793	Other
IPR000794	Other
IPR000795	Other
IPR000796	Other
IPR000797	Other
IPR000798	Other
IPR000799	Other
IPR000800	Other
IPR000801	Other
IPR000802	Other
IPR000804	Other
IPR000805	Other
IPR000806	Other
IPR000807	Other
IPR000808	Other
IPR000810	Other
IPR000811	Other
IPR000812	 
IPR000813	Other
IPR000814	 
IPR000816	Other
IPR000817	Other
IPR000818	 
IPR000819	Other
IPR000820	 
IPR000821	Other
IPR000823	Other
IPR000824	 
IPR000825	Other
IPR000826	Other
IPR000827	Other
IPR000828	Other
IPR000829	Other
IPR000830	Other
IPR000831	 
IPR000832	 
IPR000833	Other
IPR000834	Other
IPR000835	 
IPR000836	Other
IPR000837	 
IPR000838	 
IPR000839	Other
IPR000840	Other
IPR000841	Other
IPR000842	Other
IPR000843	 
IPR000844	Other
IPR000845	Other
IPR000846	Other
IPR000847	 
IPR000848	 
IPR000849	Other
IPR000850	Other
IPR000851	Other
IPR000852	Other
IPR000853	Other
IPR000855	Other
IPR000856	Other
IPR000857	Other
IPR000858	Other
IPR000859	Other
IPR000860	Other
IPR000863	Other
IPR000864	Other
IPR000866	Other
IPR000867	Other
IPR000868	Other
IPR000869	Other
IPR000870	 
IPR000871	Other
IPR000872	Other
IPR000873	Other
IPR000874	Other
IPR000875	Other
IPR000876	Other
IPR000877	Other
IPR000878	Other
IPR000879	Other
IPR000881	Other
IPR000883	Other
IPR000884	Other
IPR000885	Other
IPR000887	Other
IPR000888	Other
IPR000889	Other
IPR000890	Other
IPR000891	Other
IPR000892	Other
IPR000894	Other
IPR000895	Other
IPR000896	Other
IPR000897	Other
IPR000898	Other
IPR000900	Other
IPR000903	Other
IPR000904	Other
IPR000905	Other
IPR000906	Other
IPR000907	Other
IPR000908	Other
IPR000909	Other
IPR000911	 
IPR000912	Other
IPR000913	 
IPR000914	Other
IPR000915	Other
IPR000916	Other
IPR000917	Other
IPR000919	Other
IPR000920	Other
IPR000921	Other
IPR000922	Other
IPR000923	Other
IPR000924	Other
IPR000925	Other
IPR000926	Other
IPR000928	Other
IPR000929	Other
IPR000930	Other
IPR000931	Other
IPR000932	Other
IPR000933	Other
IPR000935	 
IPR000936	Other
IPR000937	Other
IPR000938	Other
IPR000939	Other
IPR000940	 
IPR000941	Other
IPR000942	 
IPR000943	 
IPR000944	Other
IPR000948	Other
IPR000949	 
IPR000951	Other
IPR000952	Other
IPR000953	 
IPR000956	Other
IPR000957	Other
IPR000959	Other
IPR000960	Other
IPR000961	Other
IPR000962	 
IPR000965	Other
IPR000966	Other
IPR000967	 
IPR000968	Other
IPR000969	 
IPR000971	Other
IPR000972	 
IPR000973	Other
IPR000974	 
IPR000975	Other
IPR000976	 
IPR000977	 
IPR000978	Other
IPR000979	Other
IPR000980	Other
IPR000981	Other
IPR000982	Other
IPR000983	Other
IPR000984	Other
IPR000985	Other
IPR000986	Other
IPR000987	 
IPR000988	Other
IPR000989	 
IPR000990	Other
IPR000992	Other
IPR000994	Other
IPR000995	Other
IPR000996	Other
IPR000997	Other
IPR000998	Other
IPR000999	Other
IPR001000	Other
IPR001001	 
IPR001002	Other
IPR001003	Other
IPR001004	Other
IPR001005	 
IPR001006	Other
IPR001007	 
IPR001008	Other
IPR001009	Other
IPR001010	Other
IPR001011	Other
IPR001012	Other
IPR001013	 
IPR001014	Other
IPR001015	Other
IPR001017	Other
IPR001018	Other
IPR001019	Other
IPR001020	Other
IPR001021	Other
IPR001022	Other
IPR001024	Other
IPR001025	 
IPR001028	Other
IPR001029	Other
IPR001030	Other
IPR001031	Other
IPR001032	Other
IPR001033	Other
IPR001034	 
IPR001036	Other
IPR001037	 
IPR001038	Other
IPR001039	Other
IPR001040	Other
IPR001041	Other
IPR001044	 
IPR001045	Other
IPR001046	Other
IPR001047	Other
IPR001048	Other
IPR001050	Other
IPR001053	Other
IPR001054	Other
IPR001055	Other
IPR001056	Other
IPR001057	Other
IPR001058	Other
IPR001059	Other
IPR001060	Other
IPR001061	Other
IPR001062	 
IPR001063	Other
IPR001064	Other
IPR001065	Other
IPR001067	 
IPR001068	 
IPR001069	Other
IPR001070	 
IPR001072	Other
IPR001073	Other
IPR001075	Other
IPR001077	 
IPR001078	Other
IPR001079	Other
IPR001080	Other
IPR001082	Other
IPR001083	 
IPR001084	Other
IPR001085	Other
IPR001086	Other
IPR001087	Other
IPR001088	Other
IPR001089	Other
IPR001090	Other
IPR001091	 
IPR001093	Other
IPR001094	Other
IPR001095	Other
IPR001096	Other
IPR001098	 
IPR001099	Other
IPR001100	Other
IPR001101	Other
IPR001102	Other
IPR001103	 
IPR001104	Other
IPR001105	 
IPR001106	Other
IPR001107	Other
IPR001108	Other
IPR001109	Other
IPR001110	Other
IPR001111	Other
IPR001112	 
IPR001114	Other
IPR001115	Other
IPR001116	Other
IPR001117	Other
IPR001119	Other
IPR001122	Other
IPR001123	Other
IPR001124	Other
IPR001126	 
IPR001127	Other
IPR001128	Other
IPR001129	Other
IPR001130	 
IPR001131	Other
IPR001132	 
IPR001133	Other
IPR001134	Other
IPR001135	Other
IPR001136	Other
IPR001137	Other
IPR001138	 
IPR001139	Other
IPR001141	Other
IPR001142	Other
IPR001144	Other
IPR001146	 
IPR001147	Other
IPR001148	Other
IPR001150	Other
IPR001151	Other
IPR001152	Other
IPR001153	Other
IPR001154	 
IPR001155	Other
IPR001156	Other
IPR001157	Other
IPR001158	Other
IPR001160	Other
IPR001161	 
IPR001162	 
IPR001163	Other
IPR001164	Other
IPR001165	Other
IPR001166	Other
IPR001168	 
IPR001170	Other
IPR001171	Other
IPR001172	Other
IPR001173	Other
IPR001174	Other
IPR001177	 
IPR001178	Other
IPR001179	Other
IPR001180	Other
IPR001181	Other
IPR001182	Other
IPR001183	Other
IPR001184	Other
IPR001185	Other
IPR001186	Other
IPR001187	Other
IPR001188	Other
IPR001189	Other
IPR001190	Other
IPR001191	 
IPR001192	Other
IPR001193	Other
IPR001194	Other
IPR001195	Other
IPR001196	Other
IPR001197	Other
IPR001199	Other
IPR001200	Other
IPR001202	Other
IPR001203	Other
IPR001204	Other
IPR001205	 
IPR001206	Other
IPR001207	 
IPR001208	 
IPR001209	Other
IPR001210	Other
IPR001211	Other
IPR001212	Other
IPR001213	Other
IPR001214	Other
IPR001216	Other
IPR001217	 
IPR001218	Other
IPR001220	Other
IPR001222	 
IPR001223	Other
IPR001224	 
IPR001226	Other
IPR001227	Other
IPR001228	Other
IPR001229	Other
IPR001231	Other
IPR001232	 
IPR001233	Other
IPR001234	 
IPR001235	Other
IPR001236	Other
IPR001237	Other
